
# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:10:49
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	102.19879999999999	1.346669876983143	1315426249805	1315426260128
2	76.32440000000001	1.5543060551677599	1315426260128	1315426270283
3	67.97250000000003	1.1583481577390364	1315426270283	1315426280450
4	63.968499999999985	1.1490209930312223	1315426280450	1315426290645
5	61.53749999999998	1.4380636356589078	1315426290645	1315426300862
6	59.86780000000001	1.1845056762088944	1315426300862	1315426311100
7	58.976899999999986	1.9931107076452896	1315426311100	1315426321358
8	57.9551	1.6139214398913753	1315426321358	1315426331603
9	57.342	1.7029380434407027	1315426331603	1315426341864
10	56.887	1.9387580633706964	1315426341864	1315426352151
11	56.44079999999999	1.6604013631857557	1315426352151	1315426362459
12	56.22459999999995	1.81863386400885	1315426362459	1315426372772
13	55.93210000000002	1.9279786321581103	1315426372772	1315426383099
14	55.8014	2.0148900363506774	1315426383099	1315426393442
15	55.48329999999999	1.9473328327785293	1315426393442	1315426403775
16	55.229699999999994	1.4848218306205785	1315426403775	1315426414128
17	55.1617	1.869170428534741	1315426414128	1315426424510
18	54.8859	1.4105497853565294	1315426424510	1315426434876
19	54.9172	1.6637842226063104	1315426434876	1315426445271
20	55.080199999999984	2.171940425546182	1315426445271	1315426455680
21	54.96430000000003	1.9980269333162073	1315426455680	1315426466102
22	54.66679999999996	1.4896816011257052	1315426466102	1315426476516
23	54.76469999999999	1.7964692953940595	1315426476516	1315426486954
24	54.72480000000002	1.856300480726439	1315426486954	1315426497401

########################################
# SR ParallelExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:14:57
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	101.27720000000001	0.673417456489843	1315426497705	1315426507846
2	51.20630000000001	1.0222688719038093	1315426507846	1315426512980
3	34.38740000000003	0.191609978436297	1315426512980	1315426516479
4	26.3613	1.1736446341514961	1315426516480	1315426519154
5	21.421699999999998	1.4739201183074708	1315426519154	1315426521324
6	17.928699999999996	0.3095603105350885	1315426521324	1315426523158
7	15.665799999999997	1.1275074682276558	1315426523158	1315426524775
8	13.898700000000003	0.7383597094952832	1315426524775	1315426526216
9	12.723199999999997	1.461999378186675	1315426526216	1315426527534
10	11.493000000000002	1.128507103578957	1315426527534	1315426528733
11	10.545499999999999	0.6589329835178095	1315426528733	1315426529841
12	9.559800000000003	0.3299218762741625	1315426529841	1315426530850
13	9.241900000000001	0.60748478802082	1315426530850	1315426531834
14	8.768300000000004	1.2929881255948477	1315426531834	1315426532764
15	8.367799999999997	1.1531726810513963	1315426532764	1315426533653
16	7.828800000000004	0.4867440370211957	1315426533653	1315426534486
17	7.474800000000003	1.1305915855574433	1315426534486	1315426535303
18	7.1973	0.7740172720125379	1315426535304	1315426536081
19	6.892800000000001	0.39416727208610736	1315426536081	1315426536820
20	6.676100000000002	1.0634533940009308	1315426536820	1315426537568
21	6.3585	0.4128158417405127	1315426537568	1315426538264
22	6.286799999999999	0.6767732114955556	1315426538264	1315426538950
23	6.106399999999999	0.6858696757557114	1315426538950	1315426539612
24	5.990199999999999	1.072817474379197	1315426539612	1315426540270


# ====== Port number : 3100 ======

########################################
# SR SequentialExecute for /192.168.0.2:3100
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:15:45
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	102.15169999999996	0.47862820602521405	1315426546333	1315426556657
2	76.1572	0.33917630468158827	1315426556658	1315426566790
3	67.89250000000004	0.5330801955972772	1315426566790	1315426576935
4	63.7487	0.4345336638874604	1315426576935	1315426587094
5	61.33209999999998	0.5739466328652254	1315426587094	1315426597270
6	59.71090000000003	0.546777695671957	1315426597271	1315426607462
7	58.61209999999999	0.5491946261329718	1315426607462	1315426617679
8	57.749699999999955	0.43440997952184596	1315426617679	1315426627898
9	57.2171	0.9525174459549649	1315426627898	1315426638139
10	56.741900000000015	0.9358426171306481	1315426638139	1315426648416
11	56.16059999999999	0.5944912433187352	1315426648416	1315426658665
12	55.90239999999995	0.7691148263883447	1315426658665	1315426668939
13	55.79340000000001	1.0460480897453843	1315426668939	1315426679232
14	55.5483	1.2021521567919964	1315426679232	1315426689554
15	55.30149999999999	0.8954389195171264	1315426689554	1315426699898
16	55.09189999999999	0.6032198034838201	1315426699898	1315426710221
